,Variable,Model,Type,Correlation
204,SST,MPI-ESM1-2-HR,Correlation_npp,0.150797429826327
205,Export,EC-Earth3-CC,Correlation_npp,0.932626760471986
206,Export,MPI-ESM1-2-HR,Correlation_npp,0.918835495340873
207,Export,ACCESS-ESM1-5,Correlation_npp,0.962247834345429
208,Export,CMCC-ESM2,Correlation_npp,0.435790758785546
209,Export,IPSL-CM6A-LR,Correlation_npp,0.972416239040336
210,Iron,ACCESS-ESM1-5,Correlation_npp_k,0.0887852038896579
211,NPP,ACCESS-ESM1-5,Correlation_npp_k,
212,MLD,ACCESS-ESM1-5,Correlation_npp_k,-0.2346445243075995
213,Nitrate,ACCESS-ESM1-5,Correlation_npp_k,-0.3594534942999021
214,PAR,ACCESS-ESM1-5,Correlation_npp_k,0.717716217888414
215,Sea ice fraction,ACCESS-ESM1-5,Correlation_npp_k,0.4431918956917546
216,SST,ACCESS-ESM1-5,Correlation_npp_k,-0.147111135705678
217,Iron,CMCC-ESM2,Correlation_npp_k,0.2615876035053392
218,NPP,CMCC-ESM2,Correlation_npp_k,
219,Diatom,CMCC-ESM2,Correlation_npp_k,0.9294413295248922
220,MLD,CMCC-ESM2,Correlation_npp_k,0.0468206568453183
221,Nitrate,CMCC-ESM2,Correlation_npp_k,0.1122498730299917
222,PAR,CMCC-ESM2,Correlation_npp_k,0.4611349214120313
223,Sea ice fraction,CMCC-ESM2,Correlation_npp_k,0.2387777462129985
224,SST,CMCC-ESM2,Correlation_npp_k,-0.172086676017592
225,NPP,EC-Earth3-CC,Correlation_npp_k,
226,Diatom,EC-Earth3-CC,Correlation_npp_k,0.6959237230836227
227,MLD,EC-Earth3-CC,Correlation_npp_k,0.3255498558365049
228,Nitrate,EC-Earth3-CC,Correlation_npp_k,0.0408619740367164
229,PAR,EC-Earth3-CC,Correlation_npp_k,0.616462330284836
230,Sea ice fraction,EC-Earth3-CC,Correlation_npp_k,0.2279361293428137
231,SST,EC-Earth3-CC,Correlation_npp_k,0.212090458089659
232,Iron,IPSL-CM6A-LR,Correlation_npp_k,-0.0007754550761167
233,NPP,IPSL-CM6A-LR,Correlation_npp_k,
234,Diatom,IPSL-CM6A-LR,Correlation_npp_k,0.4840999308569497
235,MLD,IPSL-CM6A-LR,Correlation_npp_k,-0.0480779433438816
236,Nitrate,IPSL-CM6A-LR,Correlation_npp_k,-0.2621978650763714
237,PAR,IPSL-CM6A-LR,Correlation_npp_k,0.5253731886034292
238,Sea ice fraction,IPSL-CM6A-LR,Correlation_npp_k,0.1791115504342769
239,SST,IPSL-CM6A-LR,Correlation_npp_k,-0.035156746240595
240,Iron,MPI-ESM1-2-HR,Correlation_npp_k,-0.5392964346331147
