,Variable,Model,Zone,Type,Correlation
208,Sea ice fraction,EC-Earth3-CC,Inc,Correlation_ice,
209,Sea ice fraction,EC-Earth3-CC,Dec,Correlation_ice,
210,SST,EC-Earth3-CC,Inc,Correlation_ice,-0.4069368654909918
211,SST,EC-Earth3-CC,Dec,Correlation_ice,-0.3377199449893018
212,Iron,IPSL-CM6A-LR,Inc,Correlation_ice,0.3807111107423391
213,Iron,IPSL-CM6A-LR,Dec,Correlation_ice,0.2110159627014515
214,NPP,IPSL-CM6A-LR,Inc,Correlation_ice,0.2986718619636689
215,NPP,IPSL-CM6A-LR,Dec,Correlation_ice,-0.1537281837511119
216,Diatom,IPSL-CM6A-LR,Inc,Correlation_ice,0.3425159165982692
217,Diatom,IPSL-CM6A-LR,Dec,Correlation_ice,0.1766230795818653
218,MLD,IPSL-CM6A-LR,Inc,Correlation_ice,-0.5851642636515785
219,MLD,IPSL-CM6A-LR,Dec,Correlation_ice,-0.5922266821617775
220,Nitrate,IPSL-CM6A-LR,Inc,Correlation_ice,-0.6884884786807607
221,Nitrate,IPSL-CM6A-LR,Dec,Correlation_ice,-0.4505008424099015
222,PAR,IPSL-CM6A-LR,Inc,Correlation_ice,0.3855822867169869
223,PAR,IPSL-CM6A-LR,Dec,Correlation_ice,0.2580409511285627
224,Sea ice fraction,IPSL-CM6A-LR,Inc,Correlation_ice,
225,Sea ice fraction,IPSL-CM6A-LR,Dec,Correlation_ice,
226,SST,IPSL-CM6A-LR,Inc,Correlation_ice,-0.870868594553481
227,SST,IPSL-CM6A-LR,Dec,Correlation_ice,-0.8577932767870617
228,Iron,MPI-ESM1-2-HR,Inc,Correlation_ice,-0.403618349259529
229,Iron,MPI-ESM1-2-HR,Dec,Correlation_ice,-0.5594374809562229
230,NPP,MPI-ESM1-2-HR,Inc,Correlation_ice,0.283342263416168
231,NPP,MPI-ESM1-2-HR,Dec,Correlation_ice,0.1342899603626782
232,MLD,MPI-ESM1-2-HR,Inc,Correlation_ice,-0.5690691506614097
233,MLD,MPI-ESM1-2-HR,Dec,Correlation_ice,-0.7468874562284677
234,Nitrate,MPI-ESM1-2-HR,Inc,Correlation_ice,-0.4181695940963847
235,Nitrate,MPI-ESM1-2-HR,Dec,Correlation_ice,-0.5456117820678481
236,PAR,MPI-ESM1-2-HR,Inc,Correlation_ice,0.4546445130142412
237,PAR,MPI-ESM1-2-HR,Dec,Correlation_ice,0.051719887560406
238,Sea ice fraction,MPI-ESM1-2-HR,Inc,Correlation_ice,
239,Sea ice fraction,MPI-ESM1-2-HR,Dec,Correlation_ice,
240,SST,MPI-ESM1-2-HR,Inc,Correlation_ice,-0.7717199564308256
241,SST,MPI-ESM1-2-HR,Dec,Correlation_ice,-0.8319789595633476
242,Export,EC-Earth3-CC,Inc,Correlation_ice,0.1311689047865261
243,Export,EC-Earth3-CC,Dec,Correlation_ice,0.1319899616904908
244,Export,MPI-ESM1-2-HR,Inc,Correlation_ice,0.2437865511149437
245,Export,MPI-ESM1-2-HR,Dec,Correlation_ice,0.1043153541447132
246,Export,ACCESS-ESM1-5,Inc,Correlation_ice,0.1971788946262474
247,Export,ACCESS-ESM1-5,Dec,Correlation_ice,-0.4134824622198385
248,Export,CMCC-ESM2,Inc,Correlation_ice,0.1338000736988051
249,Export,CMCC-ESM2,Dec,Correlation_ice,0.3977653787187541
250,Export,IPSL-CM6A-LR,Inc,Correlation_ice,0.3356978171366293
251,Export,IPSL-CM6A-LR,Dec,Correlation_ice,-0.0718248341908939
252,Iron,ACCESS-ESM1-5,Inc,Correlation_ice_k,0.2022800623926749
253,Iron,ACCESS-ESM1-5,Dec,Correlation_ice_k,-0.2352266207687894
