,Variable,Model,Season,Type,Correlation
300,MLD,IPSL-CM6A-LR,Summer,Correlation_ice_k,-0.332082033887131
301,MLD,IPSL-CM6A-LR,Winter,Correlation_ice_k,-0.3674372488053045
302,Nitrate,IPSL-CM6A-LR,Summer,Correlation_ice_k,-0.3093779675004294
303,Nitrate,IPSL-CM6A-LR,Winter,Correlation_ice_k,-0.4592353101746272
304,PAR,IPSL-CM6A-LR,Summer,Correlation_ice_k,0.4636629064048322
305,PAR,IPSL-CM6A-LR,Winter,Correlation_ice_k,-0.1283201463819434
306,Sea ice fraction,IPSL-CM6A-LR,Summer,Correlation_ice_k,
307,Sea ice fraction,IPSL-CM6A-LR,Winter,Correlation_ice_k,
308,SST,IPSL-CM6A-LR,Summer,Correlation_ice_k,-0.2646001224050934
309,SST,IPSL-CM6A-LR,Winter,Correlation_ice_k,-0.8299349144213201
310,Iron,MPI-ESM1-2-HR,Summer,Correlation_ice_k,-0.3413552895925305
311,Iron,MPI-ESM1-2-HR,Winter,Correlation_ice_k,-0.2477172028021447
312,NPP,MPI-ESM1-2-HR,Summer,Correlation_ice_k,0.2743464004568882
313,NPP,MPI-ESM1-2-HR,Winter,Correlation_ice_k,0.2959487869876209
314,MLD,MPI-ESM1-2-HR,Summer,Correlation_ice_k,0.0205126410464686
315,MLD,MPI-ESM1-2-HR,Winter,Correlation_ice_k,-0.378812849071698
316,Nitrate,MPI-ESM1-2-HR,Summer,Correlation_ice_k,-0.3364518755866272
317,Nitrate,MPI-ESM1-2-HR,Winter,Correlation_ice_k,-0.2564479428975513
318,PAR,MPI-ESM1-2-HR,Summer,Correlation_ice_k,0.2992973352031148
319,PAR,MPI-ESM1-2-HR,Winter,Correlation_ice_k,0.2311862212772854
320,SST,MPI-ESM1-2-HR,Summer,Correlation_ice_k,-0.1066535177772216
321,SST,MPI-ESM1-2-HR,Winter,Correlation_ice_k,-0.7718985964377864
322,Sea ice fraction,MPI-ESM1-2-HR,Summer,Correlation_ice_k,
323,Sea ice fraction,MPI-ESM1-2-HR,Winter,Correlation_ice_k,
324,Sea ice fraction,EC-Earth3-CC,Summer,Correlation_ice_k,
325,Sea ice fraction,EC-Earth3-CC,Winter,Correlation_ice_k,
326,Export,EC-Earth3-CC,Summer,Correlation_ice_k,0.2579434458642076
327,Export,EC-Earth3-CC,Winter,Correlation_ice_k,-0.0860248129327721
328,Export,MPI-ESM1-2-HR,Summer,Correlation_ice_k,0.0839247504308892
329,Export,MPI-ESM1-2-HR,Winter,Correlation_ice_k,0.0922491098685016
330,Export,ACCESS-ESM1-5,Summer,Correlation_ice_k,0.4122353348930528
331,Export,ACCESS-ESM1-5,Winter,Correlation_ice_k,0.455725202520023
332,Export,CMCC-ESM2,Summer,Correlation_ice_k,0.1664370249522208
333,Export,CMCC-ESM2,Winter,Correlation_ice_k,0.2652537054661366
334,Export,IPSL-CM6A-LR,Summer,Correlation_ice_k,0.4105684481460368
335,Export,IPSL-CM6A-LR,Winter,Correlation_ice_k,0.4297029467667815
336,Iron,ACCESS-ESM1-5,Summer,Correlation_npp,0.1139729353139065
337,Iron,ACCESS-ESM1-5,Winter,Correlation_npp,0.0219838754967079
338,NPP,ACCESS-ESM1-5,Summer,Correlation_npp,
339,NPP,ACCESS-ESM1-5,Winter,Correlation_npp,
340,MLD,ACCESS-ESM1-5,Summer,Correlation_npp,-0.3015429811255873
341,MLD,ACCESS-ESM1-5,Winter,Correlation_npp,-0.1809137744774272
342,Nitrate,ACCESS-ESM1-5,Summer,Correlation_npp,-0.2297795198338753
343,Nitrate,ACCESS-ESM1-5,Winter,Correlation_npp,-0.3425894252956477
344,PAR,ACCESS-ESM1-5,Summer,Correlation_npp,0.2940746678762055
